br_name,TC_1_TRG,TC_2_TRG,TC_3_TRG,TC_4_TRG,TC_5_TRG,TC_6_TRG,TC_7_TRG,TC_8_TRG,TC_9_TRG,TC_10_TRG,TC_11_TRG,TC_12_TRG,TC_13_TRG,TC_14_TRG,TC_15_TRG,TC_16_TRG,TC_17_TRG,TC_18_TRG,TC_19_TRG,TC_20_TRG,TC_21_TRG,TC_22_TRG,TC_23_TRG,TC_24_TRG,TC_25_TRG,TC_26_TRG,TC_27_TRG,TC_28_TRG,TC_29_TRG,TC_30_TRG,TC_31_TRG,TC_33_TRG,TC_34_TRG,TC_35_TRG,TC_36_TRG,TC_37_TRG,TC_38_TRG,TC_39_TRG,TC_40_TRG,TC_41_TRG,TC_42_TRG,TC_43_TRG,TC_44_TRG,TC_45_TRG,TC_46_TRG,TC_47_TRG,TC_48_TRG,TC_49_TRG,TC_50_TRG,TC_51_TRG,TC_52_TRG,TC_53_TRG,TC_54_TRG,TC_55_TRG,TC_56_TRG,TC_57_TRG,TC_58_TRG,TC_59_TRG,TC_60_TRG,TC_61_TRG,TC_62_TRG,TC_63_TRG,TC_64_TRG,TC_65_TRG,TC_66_TRG,TC_67_TRG,TC_68_TRG,TC_69_TRG,TC_70_TRG,TC_71_TRG,TC_72_TRG,TC_73_TRG,TC_74_TRG,TC_75_TRG,TC_76_TRG,TC_77_TRG,TC_78_TRG,TC_79_TRG,TC_80_TRG,TC_81_TRG,TC_82_TRG,TC_83_TRG,TC_84_TRG,TC_85_TRG,TC_86_TRG,TC_87_TRG,TC_88_TRG,TC_89_TRG,TC_90_TRG,TC_91_TRG,TC_92_TRG,TC_93_TRG,TC_94_TRG,TC_95_TRG,TC_96_TRG,TC_97_TRG,TC_98_TRG,TC_99_TRG,TC_100_TRG,TC_101_TRG,TC_102_TRG,TC_103_TRG,TC_104_TRG,TC_105_TRG,TC_106_TRG,TC_107_TRG,TC_108_TRG,TC_109_TRG,TC_110_TRG,TC_111_TRG,TC_112_TRG,TC_113_TRG,TC_114_TRG,TC_115_TRG,TC_116_TRG,TC_117_TRG,TC_118_TRG,TC_119_TRG,TC_120_TRG,TC_121_TRG,TC_122_TRG,TC_123_TRG,TC_124_TRG,TC_125_TRG,TC_126_TRG,TC_127_TRG,TC_128_TRG,TC_129_TRG,TC_130_TRG,TC_131_TRG,TC_132_TRG,TC_133_TRG,TC_134_TRG,TC_135_TRG,TC_136_TRG,TC_137_TRG,TC_138_TRG,TC_139_TRG,TC_140_TRG,TC_141_TRG,TC_142_TRG,TC_143_TRG,TC_144_TRG,TC_145_TRG,TC_146_TRG,TC_147_TRG,TC_148_TRG,TC_149_TRG,TC_150_TRG,TC_151_TRG,TC_152_TRG,TC_153_TRG,TC_154_TRG,TC_155_TRG,TC_156_TRG,TC_157_TRG,TC_158_TRG,TC_159_TRG,TC_160_TRG,TC_161_TRG,TC_162_TRG,TC_163_TRG,TC_164_TRG,TC_165_TRG,TC_166_TRG,TC_167_TRG,TC_168_TRG,TC_169_TRG,TC_170_TRG,TC_171_TRG,TC_172_TRG,TC_173_TRG,TC_174_TRG,TC_175_TRG,TC_176_TRG,TC_177_TRG,TC_178_TRG,TC_179_TRG,TC_180_TRG,TC_181_TRG,TC_182_TRG,TC_183_TRG,TC_184_TRG,TC_185_TRG,TC_186_TRG,TC_187_TRG,TC_188_TRG,TC_189_TRG,TC_190_TRG,TC_191_TRG,TC_192_TRG,TC_193_TRG,TC_194_TRG,TC_195_TRG,TC_196_TRG,TC_197_TRG,TC_198_TRG,TC_199_TRG,TC_200_TRG,TC_201_TRG,TC_202_TRG,TC_203_TRG,TC_204_TRG,TC_205_TRG,TC_206_TRG,TC_207_TRG,TC_208_TRG
BR_506297_SRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR_506338_SRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR_506507_SRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR_506550_SRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR_506575_SRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR_506729_SRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR_506768_SRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR_506795_SRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR_506820_SRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR_506831_SRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
